Type,Name,Before,After,Before_Source,Before_Conn,After_Source,After_Conn,Notes,File_Name,Connection_Type,Server,After_Server,Database_Name,After_Database,Connection_String,M_Query_Preview
Table,All Suspended,DirectQuery,DirectQuery,SQL Server,Sql.Database,Microsoft Fabric,Fabric Lakehouse,Before metadata collection,tables/All Suspended.tmdl,Sql.Database,dta-eun-prod-sqlsrv-synapse-01.database.windows.net,dummy_server,dta-eun-prod-datawarehouse-synapse-01,dummy_database,dummy_connection,"let
				    Source = Sql.Database(""dta-eun-prod-sqlsrv-synapse-01.database.windows.net"", ""dta-eun-prod-datawarehouse-synapse-01"", [Query=""select a.request_id,((total_elapsed_time%(1000*60*60))%(1000*60))/1000 as wait_sec,b.login_name,a.importance,a.classifier_name#(lf)from sys.dm_pdw_exec_requests a#(lf)inner join sys.dm_pdw_exec_sessions  b#(lf)on a.session_id=b.session_id#(lf)where a.status in ('Suspended')"", CreateNavigationProperties=false])
				in
				    Source"
Table,All_Running,DirectQuery,DirectQuery,SQL Server,Sql.Database,Microsoft Fabric,Fabric Lakehouse,Before metadata collection,tables/All_Running.tmdl,Sql.Database,dta-eun-prod-sqlsrv-synapse-01.database.windows.net,dummy_server,dta-eun-prod-datawarehouse-synapse-01,dummy_database,dummy_connection,"let
				    Source = Sql.Database(""dta-eun-prod-sqlsrv-synapse-01.database.windows.net"", ""dta-eun-prod-datawarehouse-synapse-01"", [Query=""SELECT #(lf)    login_name,#(lf)    a.request_id,#(lf)    total_elapsed_time / (1000 * 60) AS Minutes,#(lf)    resource_class,#(lf)    importance,#(lf)    group_name,#(lf)    resource_allocation_percentage,#(lf)    result_cache_hit,#(lf)    app_name,#(lf)    command,#(lf)    'KILL ''' + CAST(a.session_id AS VARCHAR(20)) + '''' AS kill_command#(lf)#(tab),a.stat"
Table,All_Running_2,DirectQuery,DirectQuery,SQL Server,Sql.Database,Microsoft Fabric,Fabric Lakehouse,Before metadata collection,tables/All_Running_2.tmdl,Sql.Database,dta-eun-prod-sqlsrv-synapse-01.database.windows.net,dummy_server,dta-eun-prod-datawarehouse-synapse-01,dummy_database,dummy_connection,"let
				    Source = Sql.Database(""dta-eun-prod-sqlsrv-synapse-01.database.windows.net"", ""dta-eun-prod-datawarehouse-synapse-01"", [Query=""select login_name,a.request_id,(total_elapsed_time%(1000*60*60))/(1000*60)as Minutes,resource_class,importance,group_name,resource_allocation_percentage,result_cache_hit,app_name,#(lf)case when command2 is null then command#(lf)else command2 end command#(lf) #(lf)from sys.dm_pdw_exec_requests a#(lf) #(lf)inner join sys.dm_pdw_exec_sessions  b#(lf) #(lf)on a.se"
Table,OpenSessions,DirectQuery,DirectQuery,SQL Server,Sql.Database,Microsoft Fabric,Fabric Lakehouse,Before metadata collection,tables/OpenSessions.tmdl,Sql.Database,dta-eun-prod-sqlsrv-synapse-01.database.windows.net,dummy_server,dta-eun-prod-datawarehouse-synapse-01,dummy_database,dummy_connection,"let
				    Source = Sql.Database(""dta-eun-prod-sqlsrv-synapse-01.database.windows.net"", ""dta-eun-prod-datawarehouse-synapse-01"", [Query=""select  * from sys.dm_pdw_exec_sessions where status in ('Idle','Active')#(lf)""])
				in
				    Source"
Table,request_steps,DirectQuery,DirectQuery,SQL Server,Sql.Database,Microsoft Fabric,Fabric Lakehouse,Before metadata collection,tables/request_steps.tmdl,Sql.Database,dta-eun-prod-sqlsrv-synapse-01.database.windows.net,dummy_server,dta-eun-prod-datawarehouse-synapse-01,dummy_database,dummy_connection,"let
				    Source = Sql.Database(""dta-eun-prod-sqlsrv-synapse-01.database.windows.net"", ""dta-eun-prod-datawarehouse-synapse-01"", [Query="" SELECT * FROM sys.dm_pdw_request_steps "", CreateNavigationProperties=false])
				in
				    Source"
